GeneID	interaction.pvals	tissue.treatment.specificity	Betweenness.Centrality	Connectivity	Transitivity	Eigenvector	PageRank	DE
AT4G21440	0.000346380826121015	0.0725776728808922	1.65589449096319e-07	0.0014454553184253	0.503267973856209	0.0152062420468171	1.83020270191094e-19	0.00300696580082424
AT4G21445	4.94890739406863e-05	0.258254400421868	2.87866887930175e-07	0.0014454553184253	0.359477124183007	0.0167315191559697	1.83020270191094e-19	0.0442319602155133
AT4G21450	0.00173312865384397	0.231494644228297	1.04081890137519e-06	0.00212566958591956	0.283076923076923	0.0212456874213431	1.83020270191094e-19	0.129305886868219
AT4G21460	0.000138445109859698	0	9.27332445483759e-09	0.00034010713374713	0.2	0.00744720804996361	1.83020270191094e-19	0.00115981720677371
AT4G21470	0.000541422474991333	0	3.39358174139233e-07	0.00187058923560922	0.347826086956522	0.0218988238771257	1.83020270191094e-19	0.00487987295318447
AT4G21480	0.000398988276460211	0	5.64054754895401e-06	0.00705722302525295	0.335628227194492	0.0575300449426433	1.83020270191094e-19	0.00205787853386986
AT4G21490	1.06050967582626e-08	0	1.36973575933589e-06	0.00476149987245982	0.37531328320802	0.0474067529360476	1.83020270191094e-19	0.0157753135595033
AT4G21500	1.02642069150895e-05	0.344557679911137	3.79464784733057e-07	0.001955616019046	0.398550724637681	0.0208241177757477	1.83020270191094e-19	0.0485293280080257
AT4G21510	6.60901459498948e-05	0	4.0491245330492e-07	0.00187058923560922	0.462450592885376	0.0209658493120131	1.83020270191094e-19	0.0277469299197983
AT4G21520	0.000465442094885935	0	7.78312930995812e-07	0.00221069636935635	0.376068376068376	0.0209685659813628	1.83020270191094e-19	0.0312615066888102
AT4G21530	6.61765399373511e-07	0	2.67665134519287e-06	0.00510160700620695	0.291256830601093	0.0528141478112318	1.83020270191094e-19	0.0229439939093422
AT4G21534	8.02307514877152e-07	0.341589277308618	3.03569731581043e-06	0.00663208910806904	0.306069457968192	0.0668556774592608	1.83020270191094e-19	0.111236843691163
AT4G21540	0.000428933569465424	0.319059054511972	3.30865528843197e-06	0.00578182127370122	0.34228473998295	0.0516153093817426	1.83020270191094e-19	0.170847182919518
AT4G21550	0.00100226357556806	0.222692440791387	1.77458707950237e-06	0.00382620525465522	0.348792270531401	0.0436183102020568	1.83020270191094e-19	0.0138760871992159
AT4G21560	3.39513870297742e-06	0.312489207140679	1.80046442741645e-06	0.00382620525465522	0.326570048309179	0.0337506344397655	1.83020270191094e-19	0.11259254974084
AT4G21570	2.41540958422437e-09	0.4707185307481	3.63739290260174e-07	0.00306096420372417	0.385885885885886	0.030819146920611	1.83020270191094e-19	0.0566552624136816
AT4G21580	0.000162587024246093	0	2.92377932200879e-07	0.00263583028654026	0.413306451612903	0.0298686631013659	1.83020270191094e-19	0.0103534238785619
AT4G21585	6.75347078405065e-05	0.282959976263615	7.90686836199105e-07	0.001955616019046	0.340579710144928	0.0237517865075932	1.83020270191094e-19	0.0561211708142643
AT4G21590	0.00425668902942023	0	3.40325420668675e-07	0.00170053566873565	0.30952380952381	0.020917253921273	1.83020270191094e-19	0.00108602582884155
AT4G21600	3.89569507212878e-05	0	9.00252763619671e-07	0.00204064280248278	0.326666666666667	0.0253289955527954	1.83020270191094e-19	0.0442325836751522
AT4G21610	1.44811672166281e-08	0	1.34106064012909e-06	0.00476149987245982	0.347117794486215	0.0445513006466474	1.83020270191094e-19	0.00300846392483383
AT4G21620	2.00045040410118e-05	0	1.1942327328992e-06	0.00246577671966669	0.248275862068966	0.0225325588126309	1.83020270191094e-19	0.000808142492470166
AT4G21630	0.0044164598942059	0	7.0185640189311e-07	0.00323101777059774	0.421052631578947	0.0304737115673109	1.83020270191094e-19	0.00157443781979222
AT4G21640	0.00420898221708055	0	1.40933802228394e-06	0.00365615168778165	0.365750528541226	0.0369676594486541	3.66040540382189e-19	0.00138043655658799
AT4G21650	0.000305259040236315	0	1.86311309504229e-06	0.00561176770682765	0.328810492989597	0.0535314454779652	1.83020270191094e-19	0.000267688910728547
AT4G21660	0.000171286993754835	0.170001858151086	1.95943076604639e-06	0.00467647308902304	0.398701298701299	0.0486634646975717	1.83020270191094e-19	0.0835751879912494
AT4G21670	0.000192910032316897	0.203622293559166	6.23806558116948e-06	0.00663208910806904	0.298928919182084	0.0596657554250568	1.83020270191094e-19	0.0472223364938432
AT4G21680	2.51504884363001e-05	0.314830706925138	3.51950030634645e-06	0.00629198197432191	0.367567567567568	0.0639482505052784	1.83020270191094e-19	0.00992447169988281
AT4G21690	5.41314899745247e-05	0	1.05268644392448e-06	0.00255080350310348	0.303225806451613	0.0275361676196368	1.83020270191094e-19	0.00124510187751356
AT4G21700	9.82754305852269e-06	0.292655864801781	8.49754752322757e-07	0.00357112490434487	0.383167220376523	0.042875062749932	1.83020270191094e-19	0.0653525287950787
AT4G21705	0.000363254003929399	0	7.68909806293643e-08	0.00136042853498852	0.514705882352941	0.0180859167595333	1.83020270191094e-19	0.0174933325630391
AT4G21710	1.41892616248305e-06	0.240608144804563	7.01181194400498e-06	0.00756738372587365	0.313607990012484	0.07219152006986	1.83020270191094e-19	0.086844992708962
AT4G21720	4.94100247686189e-09	0.105169131923209	4.28948715473802e-07	0.00204064280248278	0.386666666666667	0.0242056341749753	1.83020270191094e-19	0.0383128569038502
AT4G21740	2.87597074782572e-09	0.0942151365734549	6.49495688283489e-07	0.00323101777059774	0.492577597840756	0.0274870541023067	1.83020270191094e-19	0.026579288059749
AT4G21745	1.41747802831193e-06	0	1.50719877177024e-06	0.00246577671966669	0.314942528735632	0.0246442411179829	1.83020270191094e-19	0.00456977338926665
AT4G21750	1.85698741782144e-07	0	1.81342200103849e-05	0.0118187228977128	0.308221993833505	0.104927797737253	1.83020270191094e-19	0.00608377665301569
AT4G21760	7.95117647841772e-12	0	2.98418221143686e-06	0.00501658022277017	0.328813559322034	0.0517793221902428	1.83020270191094e-19	0.0156640742031376
AT4G21770	9.6495988611645e-09	0	6.74003133956781e-07	0.00289091063685061	0.379831932773109	0.0300914535033474	1.83020270191094e-19	0.00321314313934545
AT4G21780	1.18679922153602e-07	0.341028385010358	7.36144451184369e-07	0.00382620525465522	0.346859903381643	0.0380824030630225	1.83020270191094e-19	0.0399328456259995
