GeneID	interaction.pvals	tissue.treatment.specificity	Betweenness.Centrality	Connectivity	Transitivity	Eigenvector	PageRank
AT1G01010	0.0767376267073965	0	0.000286990971324893	0.000806289054626083	0	0.0377996468501085	8.07904096042012e-18
AT1G01040	0.175277100916974	0	0.000177697807277598	0.000604716790969563	0.333333333333333	0.0068388571228217	0.0201336597378551
AT1G01046	0.0815722225559365	0	0.00624666802072524	0.00342672848216085	0	6.62100092238929e-07	8.07904096042012e-18
AT1G01060	0.0334642099521692	0	6.96460664109691e-06	0.000403144527313042	0	0.0194250019852489	8.07904096042012e-18
AT1G01080	0.0767318187478637	0	0	0.000201572263656521	0	1.03675677600788e-05	0.000982985807591637
AT1G01160	0.0927000711580308	0	1.54924725343981e-05	0.000806289054626083	0.166666666666667	0.040076115276668	8.07904096042012e-18
AT1G01183	0.255891781415644	0.394026952790139	0.00532625280893624	0.0102801854464826	0.0318367346938776	0.351600520560328	0.201837572755534
AT1G01240	0.0390310206500576	0	0	0.000201572263656521	0	0.000196896588263867	0.000982985807591637
AT1G01260	0.0193246836758064	0.313938653606673	1.85951653103282e-05	0.000403144527313042	0	0.0118490241963418	8.07904096042012e-18
AT1G01320	0.208448907645855	0.148219935180752	8.99567197199425e-07	0.000403144527313042	0	0.00735838627237259	0.0164742312288162
AT1G01355	0	0	0	0.000201572263656521	0	4.02429365092782e-05	0.000982985807591637
AT1G01453	0	0	4.06395692855889e-08	0.0010078613182826	0	0.00151236398932139	0.0100756045278142
AT1G01530	0.041490219717163	0	0.00172240620012129	0.000604716790969563	0	0.0126102713394337	0.00175227904831552
AT1G01560	0	0	0	0.000201572263656521	0	6.24520416478754e-06	0.00175227904831552
AT1G01590	0	0	0	0.000201572263656521	0	0.00845750453282993	0.00562132810231762
AT1G01610	0	0	0	0.000201572263656521	0	6.30409076630335e-05	0.00237073047713276
AT1G01710	0	0	0	0.000201572263656521	0	0	0.00223902322840317
AT1G01830	0.154459892279234	0	0.000426735260821444	0.000403144527313042	0	0.000174922054533787	0.00480800777467626
AT1G01880	0	0	0	0.000201572263656521	0	2.20506545340481e-05	0.00183192809596622
AT1G01900	0.143661509646381	0.864156933508298	0	0.000201572263656521	0	0.00174706015434272	0.00290318939734863
AT1G02020	0.0948873387228806	0	0	0.000201572263656521	0	0.00198906629821843	0.00432344498315453
AT1G02030	0	0	0	0.000201572263656521	0	6.24520416478731e-06	0.00175227904831552
AT1G02070	0	0	0	0.000201572263656521	0	1.15627505008455e-05	0.00212117990059247
AT1G02090	0	0	0	0.000201572263656521	0	0.000422433481420705	0.00191916276720271
AT1G02110	0.0241414857857982	0	0	0.000201572263656521	0	2.00305370190571e-08	0.00237073047713276
AT1G02130	0	0	0	0.000201572263656521	0	1.46937508514595e-05	0.00223902322840317
AT1G02220	0.0500867443891296	0	0.00287921490793163	0.000403144527313042	0	0.0101113505544159	0.000982985807591637
AT1G02250	0.0674511601538706	0.0415517631219463	0	0.000201572263656521	0	2.34247298221628e-05	0.00287874415080406
AT1G02410	0.061912742521395	0.18460854389389	0	0.000201572263656521	0	0.00845750453282993	0.00562132810231762
AT1G02630	0	0	2.21670377921394e-08	0.000604716790969563	0	1.16996612120107e-07	0.0109915685757973
AT1G02800	0.0888639957669937	0	0.00294451977061737	0.000604716790969563	0	0.00991904619573677	0.0187319928087468
AT1G02840	0.0684359822590568	0	0	0.000201572263656521	0	0.000215591979044951	0.00115149766032163
AT1G02860	0.0884569163398597	0.290942493432353	0	0.000201572263656521	0	0.00504755898616221	0.0119860618157135
AT1G02890	0	0	0	0.000201572263656521	0	0.000202082856701472	0.00201512090556285
AT1G02940	0.0692950489954578	0.0184488157717039	0	0.000201572263656521	0	3.28710087092379e-05	0.0013434139370419
AT1G03000	0.0543715831580404	0	0	0.000201572263656521	0	1.50866190147077e-06	0.00212117990059247
AT1G03010	0.0526899210676701	0.387227695919683	0	0.000201572263656521	0	0.0122864827103168	0.00734353187851278
AT1G03022	0	0	3.87043517005608e-09	0.000403144527313042	0	3.37588603220906e-07	0.00383832553440541
AT1G03030	0.0390866333475465	0.292430083259979	4.97529884127974e-06	0.000403144527313042	0	0.00604853048315767	0.00759621319544567
AT1G03060	0.0462355700226757	0.177452345161376	0	0.000201572263656521	0	2.25908443324276e-08	0.00212117990059247
AT1G03080	0.0260851438522419	0	0	0.000403144527313042	1	0.00396041669760579	0.0102351355693609
AT1G03290	0	0.303714180900836	0	0.000201572263656521	0	2.46781923629276e-06	0.00212117990059247
AT1G03365	0	0	0	0.000201572263656521	0	4.93291185131267e-06	0.000959581383601357
AT1G03380	0.0566197058275471	0	0	0.000201572263656521	0	4.55015323022626e-05	0.00237073047713276
AT1G03430	0	0.204821646475519	0	0.000201572263656521	0	1.24421304968803e-05	0.00175227904831552
AT1G03495	0	0	0	0.000201572263656521	0	2.20506545340488e-05	0.00183192809596622
AT1G03530	0.048922481883266	0	0	0.000201572263656521	0	0.00968306710624802	0.011678277363318
AT1G03580	0	0	0	0.000201572263656521	0	0.000450048379527944	0.00237073047713276
AT1G03630	0.0291908193508812	0	3.67892320449584e-07	0.000403144527313042	0	0.0183932268449664	0.0512812410813772
AT1G03660	0.0461062576694405	0	0	0.000201572263656521	0	1.50866190147061e-06	0.00212117990059247
AT1G03700	0.0683156868016954	0	0	0.000201572263656521	0	8.28293188907921e-05	0.000895609291361275
AT1G03710	0.0247259478885497	0	0	0.000201572263656521	0	3.07292690672558e-05	0.00115149766032163
AT1G03770	0.0998709480934817	0	0	0.000201572263656521	0	0.000361159647193252	0.00108925454354749
