	Endodermis.Stele	Cortex.Stele	Epidermis.Stele	Columella.Stele	Qcent.Stele
ATMG00880	1.03311438768413	0.8921346224753	0.971756438629517	0.85362046339897	0.761368436066136
ATCG01110	0.494599721790597	0.330181989679672	0.3506248126606	0.283286416823469	0.335720684683436
ATMG00160	0.664342907048256	1.29594096543333	2.48228138800866	0.548665968789622	0.725308502707888
ATCG00440	0.696566662816109	2.33323776969722	0.485990493990676	0.782954296256543	3.29474467091533
ATCG00500	0.538866572521835	0.146164682892175	0.17190300465104	0.053129857982015	0.162198606867171
AT2G26360	1.04729412282063	4.85790182157421	1.85875076150875	0.91088026731049	1.38478947683833
AT2G23320	1.7398947054173	1.45598954899909	0.732889025710334	2.84941679716249	1.894959042807
AT2G39720	0.98372933750964	1.56193382686989	1.55545141583826	1.32439487523883	0.742776460330414
AT2G23180	1.21335356024869	1.8037507567645	0.832391035661689	0.866937563514687	0.983956653508112
AT2G23340	0.625464540056633	1.67094780232026	0.468027973800271	0.521473796814099	0.742948097961095
AT2G23300	1.74916534011167	0.926159986202714	1.67249279982813	5.90116582833136	2.12554578185524
AT2G23290	1.13340750978342	1.82218149931027	1.16581052644583	1.25933897724359	1.87319358180923
AT2G40950	0.873169312778169	0.727994774499543	1.10114159809796	1.24861900782454	1.0361024518953
AT2G40840	1.55904942670073	2.87454443715784	1.66516676209588	11.9339522135317	3.58548098535877
AT2G41690	1.00231316184217	1.0386191036051	0.852437914034168	0.929590136871302	0.922422749885616
AT2G41630	1.0869859806039	1.68062750446656	0.739352022493724	2.57278933875281	1.99676792754748
AT2G41620	0.601651512999751	0.595978971761793	0.901042253592626	1.60695923704616	2.41356664948955
AT2G41640	1.32868581409651	3.56277160242672	1.59070539406139	2.5894876299021	1.67616789665995
AT2G39810	0.68554977982502	0.748115710646008	1.27987241384431	1.30948542308357	1.59107296750984
AT2G47580	0.687453164845702	0.402948304163245	1.35441200570982	0.39740079578593	0.702790534960153
AT2G47430	1.13262216377522	0.947151206919904	0.928731410038549	0.962594443101752	0.851453707748945
AT2G47460	3.66208852580491	11.2381552711737	1.83740118809302	3.57596677774864	1.18852040038705
AT2G45190	1.05020186782221	0.856584018970457	0.917427886970572	0.765071595415501	0.782954296256543
AT2G45270	1.05238797336491	0.995389679103229	0.859160754947185	1.02811382665607	1.45011434698119
AT2G33080	1.03789943714796	0.9841840220338	0.959707495905598	0.994010732038082	0.94398335961681
AT2G33240	1.23656093415912	1.1960961217374	1.06831221206742	1.42076373912898	1.295491904341
AT2G33150	1.31403162714937	1.7987566242955	1.27015098253879	2.11843666936775	1.37904225859725
AT2G47540	0.235478405126169	0.256613089366868	3.90773689048828	0.340014144076749	0.274872281003257
AT5G12430	0.91870059404651	1.25730383983523	2.17196371264459	0.899586136669432	0.964486756268611
AT5G12440	1.07450088175399	1.16365764133518	1.08975211221333	1.41519416032666	1.61235191842491
AT5G12370	1.16392653440214	1.25121813949375	1.0882424416708	1.64680149863703	1.19099443048974
AT1G67830	1.07400447162012	0.957492660419356	0.966829456297748	1.02290110209092	3.00007797857164
AT4G25520	1.66362853215679	1.96882288619768	1.30013971578325	4.61820857956044	2.28310941425355
AT1G44414	8.47374667747101	0.955503679107318	0.823020345278708	1.10547520480371	1.00150294718596
AT4G17230	1.40639319991312	1.75889171461558	0.322640622612945	1.42437925906986	1.03144483740777
AT4G17490	0.558772658020085	1.029540083434	0.815637493339009	5.20176058619392	0.893578677989944
AT4G17500	1.17337703929718	1.23684667340944	0.524252351779465	2.98279880090076	1.8688705816917
AT4G14680	1.17990169666191	0.692394738419163	0.288304781020327	1.52978969352399	3.39520809240072
AT4G15090	1.15401875176356	2.13859999716348	1.58410357392206	1.15963169173782	1.98641445721606
AT4G14500	1.07226884148682	2.22890222791477	1.47154670606394	1.56627043602192	2.56418437292617
AT4G16780	0.452294178853865	0.307359716813645	0.515960788134992	1.6856830895094	1.92252185677752
AT4G16845	0.95638716020764	1.88556907183648	1.86003959598284	2.64634287981624	2.53122075296113
AT4G13980	1.2860974834306	1.42734425417087	1.47802089648065	2.64145591743738	1.30149220103241
AT4G16660	1.21475609122522	1.13576681661308	2.64573151541123	4.12482620230593	1.03061107431241
AT4G14340	0.923809102561827	1.21869180874565	1.18564052663219	2.63353384411849	1.27632876882895
AT4G16146	0.986232704493359	1.63467065697657	0.905424761308344	1.83400808640934	2.0818026821993
AT4G14815	1.12661922849728	0.890692900606681	0.90187537838225	0.881887582359072	0.921677114230385
AT4G17260	1.69623179675675	0.903335200791182	0.615999036722878	0.807760777609608	1.73067320539629
AT4G14130	0.0729473813636543	0.0654558826762892	0.0142621306297166	0.0229610644145017	0.0476460359447281
AT4G14930	0.774497954206477	1.2860974834306	1.14551789797976	3.62086235173504	1.61253819538221
AT4G14410	1.30676525389317	1.29086070815244	0.69930804136923	1.2834258975629	1.34630006927678
AT4G16720	0.67814546075012	0.593642656612177	1.09277773910095	0.720132025864965	1.08786535092932
AT4G13940	0.88535830215317	0.943002390565809	0.981685855246755	0.628651919917615	0.628579299394781
AT4G17460	0.686976823729045	1.21055335442133	1.11754531604017	0.285850621741727	0.997000868624537
AT4G15000	0.508974988103128	0.267695847777975	1.2860974834306	0.174262413351739	0.487677730763821
AT4G17710	1.10598616086479	0.869545444539797	0.792417877181309	0.781508426101409	0.877010892779439
AT4G17750	0.952197887510602	0.962149732776729	1.12116607802851	1.28788162950983	1.10547520480371
AT4G17785	2.03354934658391	1.05921833468388	0.802366530970407	1.01255480735049	1.26648793484813
AT4G17810	1.06093284058789	0.973779251768335	0.9356234978314	1.02054042691698	0.914359452452103
AT4G16790	0.658687769094126	0.716977624007914	0.661891508118343	0.555041160259669	0.700520900421065
AT4G14560	0.435074188224593	0.285520584827693	1.06338694995185	1.01138573358087	0.456230035466743
AT4G17340	0.800699790219824	3.66801617281868	0.467919848868346	0.0701052679055092	0.198196034152571
AT4G17585	1.0177148069898	0.948026965128645	0.900625979847929	0.863140107823123	0.971980987981352
AT4G17330	0.891928519420093	0.715653592000671	1.01395947979003	1.7658139351023	1.22561002237291
AT4G17550	0.980552422098203	0.946932393802946	0.751580739032781	0.603740295743248	0.728078880611844
AT4G16740	1.15002615019074	0.987829072059157	0.917004043204671	0.952417917355489	0.983842988943732
AT4G16750	0.82169031458579	1.82218149931027	0.737986672014682	0.768437590644006	0.841673927791289
AT4G16900	1.1341934003407	1.24833054890161	1.13576681661308	1.8471913639863	1.40233723693397
AT4G16920	0.950878775498505	1.47938750924884	1.27632876882895	0.981912699046022	0.849783164269034
AT4G16970	0.960372945051004	0.878430468238361	1.04367076041375	1.61402918599827	1.27809936320305
AT4G16990	1.13053056712459	1.04078109840697	1.03216002832637	1.08648380246211	0.946385582144429
AT4G17030	0.798482853758255	0.444113397921202	0.472264391648179	0.433368640771884	0.45607194558183
AT4G16610	0.636250445586476	0.428688018317086	0.585875760154184	0.361566603610263	0.344521677637452
AT4G15690	0.991258566167723	0.973779251768334	0.92444966021136	0.915945290270249	0.903857138391101
AT4G15780	0.729678744233217	0.428588981794929	0.919125221966531	1.27987241384431	0.847332434946118
AT4G15850	0.76914810605379	0.558772658020085	2.18000785500883	0.803293996757034	2.20202879315973
AT4G15530	0.868942930406155	1.13445548493595	1.43561277531882	64.1628654151594	1.42503761414878
AT4G15130	3.14414263343138	1.14287424488608	0.604158921694972	1.02977798518513	1.37316024987489
AT4G15230	0.870349446641432	1.13839402907488	2.10234581817541	0.71136735087027	1.24487423538217
AT4G15270	1.64642105065123	1.69623179675675	1.23427739531368	2.29421404845233	1.40590586562596
AT4G15280	1.41454035283845	0.865336602698144	0.933032991536808	5.35171021914445	0.937679415174071
AT4G15310	1.10752044648311	1.01630493216819	0.948246031174497	1.04126215253481	0.976370086231731
AT4G15330	1.89211529345119	0.502896470533927	0.212617659451726	0.271182001319523	1.24214477530387
AT4G15410	0.942131273904807	0.294022812572741	1.04078109840697	0.861745242140544	0.420545363013484
AT4G15430	1.23057563525137	1.83316079050186	0.776827762722991	1.54185454020739	1.19347361054607
AT4G15460	1.15561967086793	1.01302281514818	0.891104583233439	0.968842013405115	0.967276329613932
AT4G15500	0.754364313375117	1.13839402907488	1.39990927595448	0.542364002639045	0.730859840211316
AT4G14695	2.64084568203	1.72150057963323	3.37604312600564	0.637869557976567	0.885051513513199
AT4G14770	0.386444552160465	0.372161313791635	0.536754145411726	0.368141764525131	0.628071190571764
AT4G14810	1.13314566729387	1.08673486252606	0.848703971309123	1.12401919019665	0.985321652995397
AT4G14850	1.10573065332027	0.92444966021136	1.05897363155342	0.998614666101029	1.15188764234936
AT4G14920	1.48075538561923	2.25219748027404	1.76092484015698	2.42110670884266	1.61328351844425
AT4G14940	0.136818320750368	0.103569180734462	0.352493037526644	0.109753080117918	0.180762418105455
AT4G14180	0.969289816935065	0.928302344142545	0.879852341495977	0.747251952509058	0.877923213418087
AT4G14350	1.59254411087303	0.902709273498583	1.46950812252811	0.397584476382658	0.879445857307789
AT4G14390	0.968170695982883	0.879039560911787	1.30314714936329	0.819793998390271	0.804036741217003
AT1G56650	1.00254477211187	0.91870059404651	0.795168952765317	0.910249111988413	0.727490341817379
