GeneID	interaction.pvals	tissue.treatment.specificity	Betweenness.Centrality	Connectivity	Transitivity	Eigenvector	PageRank	DE
AT1G01010	5.30944129165384e-06	0	0	2.47955558734473e-05	0	0.00346640738600558	0	0.0897559123106206
AT1G01020	3.45454105566481e-11	0	0	5.81741887800109e-05	0	0.00795989844193874	0	0.000317523675984289
AT1G01030	4.39165092654935e-15	0	0	6.19888896836184e-05	0	0.00847344027690254	0	0.020330616669623
AT1G01040	3.59170471795204e-06	0	0	3.71933338101709e-05	0	0.0051354183496379	0	0.00887708763929393
AT1G01050	0.000281357668690621	0	0	1.43051283885273e-05	0	0.00205416733985516	0	0.100242035006821
AT1G01060	0	0	0	5.81741887800109e-05	0	0.00795989844193874	0	0.026975474971718
AT1G01070	3.07442938155034e-07	0	0	7.53403428462438e-05	0	0.0102708366992758	0	0.030187342177606
AT1G01080	3.71074080708476e-06	0	0	3.52859833583674e-05	0	0.00487864743215601	0	0.00457667211427205
AT1G01090	2.84277188873972e-10	0	0	3.43323081324655e-05	0	0.00475026197341506	0	0.0684240990160839
AT1G01100	0.000253085000084987	0	0	5.72205135541092e-06	0	0.000898698211186633	0	0.00753299261076429
AT1G01110	1.58741960798621e-12	0	0	8.29697446534582e-05	0	0.0112979203692034	0	0.0368389684040327
AT1G01115	0	0	0	0	0	0.000128385458740948	0	0
AT1G01120	0	0	0	0.000130653505948549	0	0.0177171933062508	0	0.0241679056814889
AT1G01130	4.21523610173977e-09	0	0	4.76837612950909e-05	0	0.00654765839578832	0	0.00129068238051479
AT1G01140	1.57864443452725e-14	0	0	8.58307703311638e-05	0	0.0116830767454262	0	0.0187175903263328
AT1G01150	3.96940806278227e-14	0	0	6.38962401354219e-05	0	0.00873021119438443	0	8.40717299404591e-05
AT1G01160	0.000142238227055364	0	0	1.81198292921346e-05	0	0.00256770917481895	0	0.0776198553006286
AT1G01170	2.79088241044262e-05	0	0	9.53675225901819e-06	0	0.00141224004615042	0	0.00385855564620439
AT1G01180	1.76415344491399e-13	0	0	8.20160694275566e-05	0	0.0111695349104624	0	0.0337333086766739
AT1G01190	6.46723758023518e-10	0	0	7.24793171685382e-05	0	0.00988568032305296	0	0.0208404841218009
AT1G01200	5.01700862058986e-07	0	0	4.86374365209928e-05	0	0.00667604385452927	0	0.0262746130478648
AT1G01210	0.000164965731174434	0	0	6.67572658131274e-06	0	0.00102708366992758	0	0.00147507824707481
