"","cond1","cond2","cond3","cond4","cond5","cond6","cond7","cond8"
"gd",3.66666666666667,2,3.66666666666667,3,2.33333333333333,1.66666666666667,1.5,4
"ge",3,2,6,7,8,8.66666666666667,9,5.5
