"","cond1","cond2","cond3","cond4","cond5","cond6","cond7","cond8"
"ge",3,2,6,7,8,8.66666666666667,9,5.5
"gi",9,2,29.6666666666667,29.6666666666667,38.3333333333333,13.3333333333333,17.5,3.5
