"","EdgeCount","degree_in","degree_out","BetweennessCentrality","eigenvector_centrality","ClusteringCoefficient","pagerank"
"AT5G18490",0.00293528064146621,0,82,5.48366055617208e-07,0.0629907497911647,0.336344474555857,8.51331424974066e-06
"AT5G18500",0.00204037800687285,0,57,2.05961250840158e-07,0.048735548415849,0.382832080200501,8.51331424974066e-06
"AT5G18510",0.000501145475372279,0,14,4.08488347466405e-08,0.0141089370360326,0.43956043956044,8.51331424974066e-06
"AT5G18520",0.00275630011454754,0,77,2.90944095465168e-07,0.0608739280748671,0.366028708133971,8.51331424974066e-06
"AT5G18525",0.00300687285223368,0,84,1.01653565588884e-06,0.0626909790796446,0.35025817555938,8.51331424974066e-06
"AT5G18540",0.00246993127147766,0,69,4.00026605620604e-07,0.0532371254268916,0.337169650468883,8.51331424974066e-06
"AT5G18550",0.00161082474226804,0,45,1.20758042368836e-07,0.040880670240635,0.480808080808081,8.51331424974066e-06
"AT5G18560",0.00118127147766323,0,33,8.3847872282296e-08,0.0263150948144532,0.34469696969697,8.51331424974066e-06
"AT5G18570",0.00093069873997709,0,26,4.3247130983473e-08,0.0233369013080656,0.372307692307692,8.51331424974066e-06
"AT5G18580",0.0025057273768614,0,70,2.73416906516196e-07,0.0528763220582796,0.352795031055901,8.51331424974066e-06
"AT5G18590",0.00211197021764032,0,59,2.971006468861e-07,0.0477291055122242,0.361776738749269,8.51331424974066e-06
"AT5G18600",0.00121706758304696,0,34,3.88936663061615e-08,0.0246534952057153,0.31729055258467,8.51331424974066e-06
"AT5G18610",0.00107388316151203,0,30,1.04617336579544e-07,0.0259003478502128,0.418390804597701,8.51331424974066e-06
"AT5G18620",0.00286368843069874,0,80,5.38280666252705e-07,0.0650131311180138,0.334493670886076,8.51331424974066e-06
"AT5G18630",0.00143184421534937,0,40,1.74846072658894e-07,0.0331168105077179,0.398717948717949,8.51331424974066e-06
"AT5G18633",3.57961053837343e-05,0,1,0,0.00114520229417728,0,8.51331424974066e-06
"AT5G18640",0.00175400916380298,0,49,2.54102478470812e-07,0.0391962720447583,0.380952380952381,8.51331424974066e-06
"AT5G18650",0.00264891179839633,0,74,4.6299840382578e-07,0.0597026225524946,0.31543872639763,8.51331424974066e-06
"AT5G18660",0.000823310423825888,0,23,1.5445244090235e-08,0.0178352591027809,0.513833992094862,8.51331424974066e-06
"AT5G18661",0.000715922107674685,0,20,9.20250684317800e-09,0.017381183875735,0.415789473684211,8.51331424974066e-06
"AT5G18670",0.0013602520045819,0,38,1.48099759171201e-07,0.0244206255305316,0.305832147937411,8.51331424974066e-06
"AT5G18680",0.00325744558991982,0,91,4.35825948633066e-07,0.0676726978383088,0.339438339438339,8.51331424974066e-06
"AT5G18690",0.00110967926689576,0,31,8.69418099111133e-08,0.0240236976933756,0.406451612903226,8.51331424974066e-06
"AT5G18700",0.000966494845360825,0,27,1.39388527088336e-07,0.0222955851850974,0.39031339031339,8.51331424974066e-06
"AT5G18710",0.00153923253150057,0,43,2.90833639685863e-07,0.0329320340215748,0.406423034330011,8.51331424974066e-06
"AT5G18720",0.00168241695303551,0,47,1.0837735655341e-07,0.0403457515292218,0.410730804810361,8.51331424974066e-06
"AT5G18730",0.00118127147766323,0,33,1.04243220900264e-07,0.0254665751212151,0.352272727272727,8.51331424974066e-06
"AT5G18740",0.00121706758304696,0,34,1.16559084556478e-07,0.0261641101619563,0.358288770053476,8.51331424974066e-06
"AT5G18748",7.15922107674685e-05,0,2,0,0.00116027172310114,1,8.51331424974066e-06
"AT5G18750",0.00171821305841924,0,48,8.34280471439323e-08,0.0442501793286305,0.425531914893617,8.51331424974066e-06
"AT5G18755",0.000178980526918671,0,5,1.64458026500496e-11,0.00509224236083312,0.9,8.51331424974066e-06
"AT5G18760",0.0014676403207331,0,41,1.79940660873373e-07,0.0369520632571843,0.396341463414634,8.51331424974066e-06
"AT5G18770",0.00110967926689576,0,31,2.74753058161565e-08,0.0290319026454343,0.483870967741935,8.51331424974066e-06
"AT5G18780",0.00118127147766323,0,33,7.41987260591711e-08,0.0281288362388818,0.354166666666667,8.51331424974066e-06
"AT5G18790",0.000322164948453608,0,9,4.99858537345408e-09,0.00882874931879107,0.5,8.51331424974066e-06
"AT5G18800",0.00103808705612829,0,29,9.06896054120949e-08,0.0191388349659376,0.278325123152709,8.51331424974066e-06
"AT5G18810",0.00139604810996564,0,39,1.25862066384075e-07,0.0368324559127485,0.33468286099865,8.51331424974066e-06
"AT5G18820",0.00225515463917526,0,63,1.00667464755357e-07,0.0529113522709001,0.403993855606759,8.51331424974066e-06
"AT5G18830",0.00178980526918671,0,50,1.787442248505e-07,0.0402366659887483,0.333061224489796,8.51331424974066e-06
"AT5G18840",0.00318585337915235,0,89,6.56426690784278e-07,0.06472758570198,0.317671092951992,8.51331424974066e-06
"AT5G18850",0.00143184421534937,0,40,3.63287436214958e-08,0.0239048039395881,0.319230769230769,8.51331424974066e-06
"AT5G18860",0.00454610538373425,0,127,1.17987252439505e-06,0.0867622283749613,0.29546306711661,8.51331424974066e-06
"AT5G18870",0.00161082474226804,0,45,9.70210003249804e-08,0.037804721742071,0.418181818181818,8.51331424974066e-06
"AT5G18880",0.000107388316151203,0,3,4.60756620421665e-11,0.00408414069939397,0.666666666666667,8.51331424974066e-06
"AT5G18890",0.00186139747995418,0,52,1.56369044851052e-07,0.0412968602648384,0.3710407239819,8.51331424974066e-06
"AT5G18900",0.00107388316151203,0,30,1.29918617895833e-07,0.0221433263083828,0.342528735632184,8.51331424974066e-06
"AT5G18910",0.00239833906071019,0,67,2.7195292258046e-07,0.0510025324431193,0.39348710990502,8.51331424974066e-06
"AT5G18920",0.000787514318442154,0,22,1.42809844590113e-07,0.0131034280407273,0.38961038961039,8.51331424974066e-06
"AT5G18930",0.00322164948453608,0,90,3.46417180199913e-07,0.0645298381633254,0.347315855181024,8.51331424974066e-06
"AT5G18940",0.00107388316151203,0,30,8.66263687837339e-08,0.0277753182342557,0.427586206896552,8.51331424974066e-06
"AT5G18950",0.00132445589919817,0,37,5.25861911556493e-08,0.0358749066723674,0.466966966966967,8.51331424974066e-06
"AT5G18960",0.00103808705612829,0,29,6.91362227228562e-08,0.027766792753676,0.455665024630542,8.51331424974066e-06
"AT5G18970",0.00118127147766323,0,33,7.70696874274044e-08,0.0298673634386486,0.363636363636364,8.51331424974066e-06
