"","x"
"AT1G02520",0.00118039673741249
"AT1G02530",0.0532946765212262
"AT1G02540",0
"AT1G02550",6.16399080992071e-11
"AT1G02560",1.15281640665466e-05
"AT1G02570",0.000753861102849058
"AT1G02575",0.0253183672411706
"AT1G02580",2.99508491068756e-10
"AT1G02590",0.155592771324029
"AT1G02610",7.68752566059523e-08
"AT1G02620",0.00328373351767187
"AT1G02630",0.0122017963361222
"AT1G02640",1.28255553051589e-14
"AT1G02650",7.8110524790817e-15
"AT1G02660",2.70651377344193e-10
"AT1G02670",2.7808519155969e-07
"AT1G02680",0.000123266299956388
"AT1G02681",0
"AT1G02690",0.00142314370207618
"AT1G02700",1.91547932735347e-10
"AT1G02710",2.84983846178709e-06
"AT1G02720",3.24116821122113e-07
"AT1G02730",1.90129792439221e-07
"AT1G02740",4.09177768305787e-07
"AT1G02750",4.3627654862562e-05
"AT1G02770",4.76502159691294e-09
"AT1G02780",5.98857004965654e-05
"AT1G02790",0.0176009324419413
"AT1G02800",0.0497941700196373
"AT1G02810",1.53911388893763e-10
"AT1G02813",0.251060540490489
"AT1G02816",0.0728421598281783
"AT1G02820",0.000506438816165612
"AT1G02830",0.0006727941494869
"AT1G02840",0.00403338410850165
"AT1G02850",2.22941401887081e-06
"AT1G02860",0.000471688244352148
"AT1G02870",4.221350522954e-07
"AT1G02880",0.00675133622854033
"AT1G02890",2.78767938591546e-08
"AT1G02900",0.297775417755513
"AT1G02910",2.54756849867114e-10
"AT1G02920",0.00573090333107311
"AT1G02930",0.000169967512329609
"AT1G02940",0.00258145672496003
"AT1G02950",0.000132032875944501
"AT1G02952",0
"AT1G02960",0.00111452173606384
"AT1G02965",1.09401848085339e-06
"AT1G02970",0.00958186645184736
"AT1G02980",0.0733656962855173
"AT1G02990",1.53188438993455e-07
"AT1G03000",1.48669244621671e-08
"AT1G03010",8.24220278406719e-07
"AT1G03020",0.461036410385729
"AT1G03022",0
"AT1G03030",0.00129195673484004
"AT1G03040",0.000316618815093952
"AT1G03050",0.0929740546036837
"AT1G03055",1.86290081870798e-10
"AT1G03060",1.15890243868638e-06
"AT1G03070",0.958358648408223
"AT1G03080",2.10490609492879e-05
"AT1G03090",0.00510321362794747
"AT1G03100",0.181549056815345
"AT1G03103",7.26852661628368e-05
"AT1G03106",0.00660296732852263
"AT1G03110",0.00141171163349444
"AT1G03120",3.48519987439209e-09
"AT1G03130",4.2742979857066e-05
"AT1G03140",0.000459764577331476
"AT1G03150",3.09306719584454e-06
"AT1G03160",3.88045372541216e-13
"AT1G03170",0.0424351267361939
"AT1G03180",0.075986231677322
"AT1G03190",0.00469019166413061
"AT1G03210",1.25480731542084e-05
"AT1G03220",3.7610867407776e-05
"AT1G03230",7.24397118079119e-05
"AT1G03240",0.166582649141774
"AT1G03250",4.24202564399427e-05
"AT1G03260",3.31459796365522e-06
"AT1G03270",8.13043366550096e-09
"AT1G03280",0.000323654531571352
"AT1G03290",0.000596678371712293
"AT1G03300",0.0059644688504213
"AT1G03310",4.81007470528862e-08
"AT1G03320",5.83610500633529e-11
"AT1G03330",0.042894270670948
"AT1G03340",2.14595255001708e-05
"AT1G03350",7.44612295917974e-06
"AT1G03360",2.05255529727802e-05
"AT1G03365",0.000355105030543924
"AT1G03370",4.10578761354773e-09
"AT1G03380",1.93567819111573e-07
"AT1G03390",2.89298239965986e-16
"AT1G03400",0.0297075427229252
"AT1G03410",3.10427528583972e-09
"AT1G03420",0
"AT1G03430",1.16314322692473e-06
"AT1G03440",2.3992360875933e-09
"AT1G03445",6.64769554313925e-10
"AT1G03457",1.85736941888027e-05
"AT1G03470",0.0107964791607057
"AT1G03475",3.13091561627703e-05
"AT1G03490",3.86280653278968e-12
"AT1G03495",0.00149351902328384
"AT1G03510",0.418535208170762
"AT1G03520",0.00014143229398154
"AT1G03530",5.74950599243382e-10
"AT1G03540",0.0337302952636211
"AT1G03550",0.0560421963924455
"AT1G03545",0
"AT1G03560",0.00488328601978578
"AT1G03580",0
"AT1G03590",1.21106446863021e-05
"AT1G03600",2.23531357572274e-07
"AT1G03610",0.00256675380662983
"AT1G03620",0.00164414178018695
"AT1G03630",2.45066328441684e-06
"AT1G03640",0
"AT1G03650",0.00248664206121261
"AT1G03660",0.378863444760904
"AT1G03670",4.82163733276644e-17
"AT1G03680",0.000223014639831875
"AT1G03687",1.57749386830795e-07
"AT1G03700",0.109331817342822
"AT1G03710",0.129522215747009
"AT1G03720",0.471388456061098
"AT1G03730",0.000231211413623119
"AT1G03740",2.16569534861591e-07
"AT1G03743",0
"AT1G03750",0.0282875278821272
"AT1G03760",0.063308825224406
"AT1G03770",0.0165209784984867
"AT1G03780",1.06557948148092e-06
"AT1G03790",0.0906311283556415
"AT1G03800",0
"AT1G03810",2.65185424680104
"AT1G03820",0.00693179200613121
"AT1G03830",2.02148349608418e-07
"AT1G03840",5.76747988549162e-09
"AT1G03850",6.40627285088717e-06
"AT1G03860",5.52503123339184e-07
"AT1G03870",4.30966809735577e-05
"AT1G03880",0.00340808998427182
"AT1G03890",0.0164148121381146
"AT1G03900",1.70772049968749e-06
"AT1G03905",0.00907651521691435
"AT1G03910",0.00910928365650428
"AT1G03920",9.87949614481279e-09
"AT1G03930",3.20936462339637e-07
"AT1G03940",0.0337741035760212
"AT1G03950",0.000138894170077622
"AT1G03960",0.0874384863118589
"AT1G03970",0.00354280527033069
"AT1G03980",4.91146344970709e-07
"AT1G03982",3.23728105680137e-11
"AT1G03990",4.09979000769732e-12
"AT1G04000",1.18472450903566e-12
"AT1G04010",2.49654960328871e-09
"AT1G04020",0.000469040367747129
"AT1G04030",4.4467285899325e-05
"AT1G04040",5.34567776416851e-07
"AT1G04050",0.0806534452038453
"AT1G04070",0.000429724305801712
"AT1G04080",5.95254247347876e-07
"AT1G04090",0.00290991054945909
"AT1G04100",3.32992653594483e-05
"AT1G04110",1.11108620890157e-05
"AT1G04120",0.00138854131924411
"AT1G04130",0.0457009554521698
"AT1G04140",5.06552744933692e-05
"AT1G04150",0.0478104917475483
"AT1G04160",1.76418481863809e-07
"AT1G04170",0.00336652724928023
"AT1G04180",0.0153513190702136
"AT1G04190",0.00628505266053111
"AT1G04200",3.61820599515502e-05
"AT1G04210",0.00540541632865325
"AT1G04220",0.000164376657415381
"AT1G04230",0.000550864852876271
"AT1G04240",0.000523339458003097
"AT1G04250",7.8110524790817e-15
"AT1G04260",0.0171751040851481
"AT1G04270",0.00154495182155992
"AT1G04280",1.13643221191014e-06
"AT1G04290",3.44442581153258e-05
"AT1G04295",0
"AT1G04300",1.7390658517261e-05
"AT1G04310",0.00333687400040986
"AT1G04330",1.07794524426553e-05
"AT1G04340",0.00299676766704937
"AT1G04350",9.43272661105247e-06
"AT1G04360",0.000343185310787034
"AT1G04370",0.227183535833727
"AT1G04380",3.30117358075854e-07
"AT1G04390",0.00698998903750055
"AT1G04400",0.0015065329962299
"AT1G04410",2.50274405729306e-05
"AT1G04420",4.16268001661705e-07
"AT1G04425",0
"AT1G04430",1.19383740360938e-11
"AT1G04440",5.9918495700441e-05
"AT1G04445",8.5208149225477e-06
"AT1G04450",0.10605546333565
"AT1G04457",0
"AT1G04470",0.0822463299645865
"AT1G04480",3.73993030373081e-09
"AT1G04490",2.97390389861524e-05
"AT1G04500",0.00403729188054031
"AT1G04501",0
"AT1G04510",2.79338727179334e-06
"AT1G04520",4.57533293205346e-07
"AT1G04530",5.40979467535082e-06
"AT1G04540",0.000439420647104292
"AT1G04550",0.00178382207001532
"AT1G04555",2.65915674992741e-05
"AT1G04560",0.0449115967577542
"AT1G04570",5.91384652498946e-05
"AT1G04580",0.206565172706108
"AT1G04590",0.000398066714990108
"AT1G04600",9.13326115598254e-11
"AT1G04610",3.64156939153855e-06
"AT1G04620",1.61617382804044e-06
"AT1G04625",6.77309504223546e-05
"AT1G04630",0.000198672498720847
"AT1G04635",0.0103922166389908
"AT1G04640",0.00203055671547075
"AT1G04645",0.258614557893673
"AT1G04650",1.8356173635141e-06
"AT1G04660",1.12392719076549e-06
"AT1G04670",0.00310393004434236
"AT1G04680",6.74882166701089e-11
"AT1G04684",0
"AT1G04690",0.000454058159455422
"AT1G04700",0.0101301949878472
"AT1G04710",0.00360359414393801
"AT1G04720",0
"AT1G04730",1.4219580358676e-06
"AT1G04750",0.00612940398658544
"AT1G04760",0.0418429815089869
"AT1G04770",2.15627552852756e-07
"AT1G04778",2.08629468212469e-06
"AT1G04780",0.0187428712144489
"AT1G04790",3.40540954517616e-07
"AT1G04800",1.09431205889027e-10
"AT1G04810",0.0067135655514995
"AT1G04820",0.00262771974686694
"AT1G04830",0.000140301936140704
"AT1G04840",0.0395166380457497
"AT1G04850",4.43808666165424e-06
"AT1G04860",0.0016123184578
"AT1G04870",3.51918779998521e-07
"AT1G04880",0.00295283350118744
"AT1G04890",0.344869219525382
"AT1G04900",3.47870115116733e-05
"AT1G04910",0.012550578289836
"AT1G04920",8.83305380933604e-09
"AT1G04930",1.00396132542979e-12
"AT1G04940",0.00108597523320917
"AT1G04945",0.0516148913217853
"AT1G04950",3.24368009193777e-06
"AT1G04960",3.09805085458973e-05
"AT1G04970",0.00732528597860446
"AT1G04980",7.16811807052202e-06
"AT1G04985",0.0073096053394848
"AT1G04990",0.000213710438448487
"AT1G05000",7.27006561028627e-08
"AT1G05010",4.36929981428726e-07
"AT1G05020",8.40411387101271e-14
"AT1G05030",2.81868552243415e-07
"AT1G05040",2.07530183390136e-06
"AT1G05055",0.000534647732782709
"AT1G05060",0.000497687410983488
"AT1G05061",0
"AT1G05065",0.0267841351730153
"AT1G05070",3.41038382099112e-05
"AT1G05080",0.00175021238890426
"AT1G05085",3.80772265326058e-06
"AT1G05100",1.08193925532756e-10
"AT1G05120",0.0267806053453144
"AT1G05135",0
"AT1G05136",0.0493473872382617
"AT1G05140",0.000222926281675998
"AT1G05150",0.000215403793865006
"AT1G05160",0.000281928218235542
"AT1G05170",0.000199613669991645
"AT1G05180",6.35172232728043e-06
"AT1G05190",0.000106533041860266
"AT1G05200",8.0976679873121e-09
"AT1G05205",9.59926055168831e-05
"AT1G05210",0.00313765869586068
"AT1G05220",0.00648117559644017
"AT1G05230",2.24942651982209e-07
"AT1G05260",0.186247559662989
"AT1G05270",6.2374477275779e-09
"AT1G05280",2.77162013043565e-07
"AT1G05290",9.03424792129198e-06
"AT1G05291",0.126548028481796
"AT1G05300",2.19384498640928e-13
"AT1G05310",4.82163733276644e-17
"AT1G05320",7.28041865944843e-05
"AT1G05330",0.0305968371302374
"AT1G05340",0.000126341471981103
"AT1G05350",0.00187174375882262
"AT1G05360",0.00344897769487227
"AT1G05370",4.61430692745772e-14
"AT1G05380",1.13622836542023e-08
"AT1G05385",0.000214167794366171
"AT1G05400",0.0285819919540131
"AT1G05410",0.0391035320435408
"AT1G05420",1.24686938899663e-09
"AT1G05430",0.000648838649327941
"AT1G05440",0.0132583168251619
"AT1G05450",0.00302038621163419
"AT1G05460",3.13928301198334e-06
"AT1G05470",2.65801408799517e-09
"AT1G05490",0.186923395413405
"AT1G05500",2.80516586643831e-06
"AT1G05510",0.00434306536638086
"AT1G05520",0.000159215921417173
"AT1G05530",0.00183420824599842
"AT1G05540",0.0107507487886186
"AT1G05550",1.03610926859212
"AT1G05560",6.07934504170663e-10
"AT1G05562",0
"AT1G05570",4.74259403211516e-06
"AT1G05575",0.00253093366242587
"AT1G05577",2.61116008427676e-07
"AT1G05580",0.00140471543573016
"AT1G05590",0.00158433394222684
"AT1G05600",0.00388034156188909
"AT1G05610",1.24366589650298e-06
"AT1G05615",1.46505016433459e-10
"AT1G05620",1.60257385310437e-07
"AT1G05630",1.0054131205459e-10
"AT1G05640",0.123392251388503
"AT1G05650",0.00215819402655584
"AT1G05660",0.00352935202434352
"AT1G05670",2.36185906913985e-05
"AT1G05675",1.57300614183288e-11
"AT1G05680",1.50404090285548
"AT1G05690",3.32519557403912e-09
"AT1G05700",0.00238329468869158
"AT1G05710",0.00533039835241965
"AT1G05720",0.000389922949355644
"AT1G05730",1.47315330356775e-05
"AT1G05740",0.00126958636696011
"AT1G05750",0.0114379512703033
"AT1G05760",3.44173313132354e-05
"AT1G05770",1.52097645753167e-06
"AT1G05780",0.00346484939111305
"AT1G05785",2.29778264885827e-05
"AT1G05790",9.19936450352764e-07
"AT1G05800",6.20991064138907e-10
"AT1G05805",4.33947359948979e-16
"AT1G05810",3.54776074945099e-13
"AT1G05820",1.84678383899638e-07
"AT1G05830",0.000204379501799431
"AT1G05835",0.00379816330161444
"AT1G05840",0.00128597623695824
"AT1G05850",0.000574726404704662
"AT1G05860",0.00064896574771957
"AT1G05870",7.41143240480359e-05
"AT1G05880",3.39718101556053e-12
"AT1G05890",0.000156102508019749
"AT1G05894",0.0172642688557385
