"","x"
"AT4G34410",0
"AT1G69690",2.64616278460361e-12
"AT5G65130",0
"AT5G64750",0
"AT5G23930",0
"AT1G12610",4.30601516966562e-08
"AT5G25810",0
"AT3G15210",0
"AT1G50640",0
"AT1G46768",0
"AT5G09410",0
"AT5G22990",7.61412235217405e-10
"AT5G18450",1.86066550763955e-10
"AT1G59640",0.148427313609255
"AT1G43700",1.51863253762933e-11
"AT1G28160",1.77943008294021e-09
"AT5G63090",0
"AT2G26960",0
"AT5G54230",0.00044268494860011
"AT1G20910",0
"AT2G06200",9.90182199976455e-05
"AT3G26790",0
"AT4G21030",0.000755297001118023
"AT1G51140",0
"AT5G64060",9.20233593154888e-12
"AT5G02320",0
"AT2G01930",7.89060852788439e-06
"AT4G38170",0.00144815070964025
"AT5G11510",0.654107991190639
"AT3G26620",1.68858561031142e-12
"AT5G47230",0
"AT3G23220",0
"AT2G36010",6.48913034513061e-07
"AT5G13910",3.63598897673687e-05
"AT2G01940",1.85418275899568e-08
"AT5G66730",3.25556952708512e-13
"AT5G67580",0.000212195764053146
"AT1G52150",4.82163733276644e-17
"AT5G23280",6.3380422739261e-13
"AT1G63030",0.00169233195607086
"AT1G76890",0
"AT1G70920",8.25107077043431e-10
"AT5G52660",1.34480231552809e-08
"AT4G14770",0
"AT2G45680",0
"AT2G42430",6.97011426818851e-06
"AT5G08130",0.000329599170618828
"AT5G62020",0.000749873248509834
"AT4G18880",0
"AT4G24020",2.24164426399137e-08
"AT5G47220",0
"AT2G20110",0
"AT3G10030",5.59134918408309e-09
"AT5G65510",0
"AT5G10510",5.67776991016924e-07
"AT5G14960",0.0130769423411977
"AT4G01500",4.60952624113459e-05
"AT3G60530",1.75365583054297e-08
"AT5G05790",0.00120451338511531
"AT5G62470",0.000718235690527748
"AT1G24250",1.54774558381805e-14
"AT3G20770",0.00586949900104931
"AT4G11660",0.000306486906169796
"AT5G39820",2.77957004461763e-06
"AT1G76880",1.87340837329921e-08
"AT4G18450",2.88171317162668e-08
"AT1G74480",4.52725708728768e-11
"AT2G03340",4.44390544270754e-11
"AT5G59430",0.00112343004273319
"AT1G47655",0.000381677735319029
"AT4G28500",3.19960082087064e-05
"AT3G46590",2.39701601288754e-09
"AT2G32460",0.0019455154047728
"AT5G08750",0.157785883634169
"AT1G35460",1.74920576704437e-05
"AT3G24050",9.52257558984279e-08
"AT1G01010",0.00118879950611899
"AT1G01020",0.000518524999101177
"AT1G01030",2.84566014138478e-07
"AT1G01040",0.00377900107979288
"AT1G01050",0.0211658362357759
"AT1G01070",0.187554921191369
"AT1G01080",0.0346611610630786
"AT1G01090",0.00224349591032394
"AT1G01100",0.000217217884612132
"AT1G01110",8.52054236108334e-06
"AT1G01120",0.00010326755721073
"AT1G01130",0.0118764409892714
"AT1G01140",1.05888684030714e-05
"AT1G01150",0.00331975861667353
"AT1G01160",0.00418816186598758
"AT1G01170",5.85781803406474e-05
"AT1G01180",3.33097532786097e-08
"AT1G01190",8.066599257719e-14
"AT1G01200",0.0108332932637061
"AT1G01210",0.028893976076481
"AT1G01220",0.00338150254197587
"AT1G01225",0.00724462531036062
"AT1G01230",0.0741866751554703
"AT1G01240",0.000317432002644245
"AT1G01260",0.0492532437293283
"AT1G01280",0.686733620949927
"AT1G01290",0.102489370067665
"AT1G01300",0.0150122442969785
"AT1G01305",0.327872270153006
"AT1G01310",0.246606616351946
"AT1G01320",0.00688366023928215
"AT1G01340",0.0047407532605692
"AT1G01350",0.0836828313275666
"AT1G01355",0.04284083255312
"AT1G01360",3.06764291789876e-05
"AT1G01370",0.00323496561179751
"AT1G01380",0.0016349139956819
"AT1G01390",9.0672963014914e-07
"AT1G01400",0.00220391351616123
"AT1G01410",0
"AT1G01420",1.6941876811641e-09
"AT1G01430",7.50740077380479e-07
"AT1G01440",0.0520881673416978
"AT1G01450",0.00255288834926547
"AT1G01453",0.00140818812151707
"AT1G01460",0.0467104177830228
"AT1G01470",0.00201918315104823
"AT1G01480",0.113651253815513
"AT1G01490",0.000206027221457671
"AT1G01500",2.75797655434249e-14
"AT1G01510",0.00120816338669483
"AT1G01520",1.62784233711802e-05
"AT1G01530",4.93859760877805e-05
"AT1G01540",4.69089321337188e-09
"AT1G01550",0.0222341805389902
"AT1G01560",0.0182014775766983
"AT1G01570",0.021318859102923
"AT1G01580",0.000105752708138385
"AT1G01590",0.000250444347224734
"AT1G01600",0.000506465991087253
"AT1G01610",1.4563024042416e-05
"AT1G01620",3.77534203155628e-14
"AT1G01630",1.63744919090225e-06
